ASV_ID,SIM01_V1,SIM01_V2,SIM01_V3,SIM02_V1,SIM02_V2,SIM02_V3,SIM03_V2,SIM03_V3,SIM04_V1,SIM04_V2,SIM04_V3,SIM05_V1,SIM05_V2,SIM05_V3,SIM06_V1,SIM06_V2,SIM06_V3,SIM07_V1,SIM07_V2,SIM07_V3,SIM08_V1,SIM08_V2,SIM08_V3,SIM09_V1,SIM09_V2,SIM09_V3,SIM10_V1,SIM10_V2,SIM10_V3
ASV0001,52,6,27,123,42,0,8,1027,114,9,15,533,122,102,8,82,0,0,127,27,391,115,12,66,27,1,0,609,18
ASV0002,1,0,152,5,11,109,3,304,91,12,0,121,1,24,18,0,2,50,3,50,58,17,0,356,9,98,658,429,168
ASV0003,1,0,0,0,545,435,30,543,4,71,33,0,2,493,0,0,12,8,0,189,73,350,68,3,0,1,10,21,3
ASV0004,0,56,0,5,0,0,5,0,0,8,68,0,0,36,10,124,84,0,23,119,0,31,0,19,3,0,0,47,41
ASV0005,27,382,15,0,21,494,125,0,17,27,12,2,1,89,227,8,0,0,41,688,5,390,103,341,3,36,230,0,132
ASV0006,4,0,0,0,166,26,0,87,0,0,0,0,9,4,162,0,0,0,0,0,3,0,0,1,0,0,0,0,0
ASV0007,1,102,0,243,55,742,30,130,220,28,295,59,64,6,570,569,56,2,48,814,20,20,7,416,96,130,79,211,42
ASV0008,0,0,0,366,5,2,22,11,38,0,26,41,12,0,11,8,0,1,1,0,0,726,0,2,1595,0,1,257,5
ASV0009,2,0,57,48,0,0,0,9,100,110,66,2,115,1262,0,0,0,261,0,185,6,51,0,469,0,126,0,5,0
ASV0010,0,1,1,0,0,22,0,0,20,0,0,0,403,0,50,0,0,1,0,246,0,0,0,0,19,0,3,0,0
ASV0011,0,0,0,156,0,0,0,11,0,529,0,0,0,179,0,0,11,0,0,0,0,0,0,0,0,0,0,0,151
ASV0012,0,2,18,0,0,0,76,2,0,0,116,0,27,9,0,1,71,0,7,0,0,5,123,0,0,0,0,0,0
ASV0013,0,23,0,0,0,0,0,469,17,0,0,0,0,417,0,0,0,0,0,5,0,0,0,0,0,13,74,0,0
ASV0014,125,0,0,0,51,101,3,0,38,566,166,1,158,3,253,409,161,2,87,0,45,233,4,36,128,225,103,153,38
ASV0015,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
ASV0016,0,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,35,907,0,0,0,42,0,0
ASV0017,0,26,4,0,0,1,689,135,63,484,1,1,366,257,181,29,9,0,13,19,161,0,1,441,100,24,53,0,118
ASV0018,854,31,0,4,4,0,87,98,134,39,7,1,0,78,0,11,6,38,76,247,131,453,35,0,4,72,163,673,206
ASV0019,74,7,97,26,100,2,294,12,44,118,9,47,16,193,25,270,119,20,303,9,213,670,43,19,700,106,110,291,2
ASV0020,0,13,0,1,91,307,9,0,0,0,1,0,1193,113,0,0,122,0,0,6,2,411,69,60,0,0,4,378,16
ASV0021,0,0,0,2,93,35,2,0,25,0,0,0,98,1,6,0,164,0,0,645,0,129,15,704,24,1,8,23,33
ASV0022,0,0,2,110,161,0,180,24,0,9,243,0,78,3,151,131,30,0,89,478,0,304,63,22,153,0,9,106,28
ASV0023,0,0,0,0,0,0,0,0,0,0,0,0,3,0,122,0,0,0,0,1,0,0,12,0,0,0,80,0,0
ASV0024,0,0,0,0,12,142,6,0,7,46,533,2,0,26,0,5,0,36,5,0,24,0,3,70,56,0,0,4,0
ASV0025,1014,64,150,47,813,42,522,875,78,11,8,880,305,105,98,322,42,110,364,412,38,27,215,251,590,215,4,116,104
ASV0026,0,0,0,13,14,8,3,0,203,0,137,0,47,1,162,0,1,256,0,111,0,4,40,428,0,0,78,32,0
ASV0027,1100,163,522,16,247,547,178,352,10,628,621,39,619,653,434,10,87,1639,22,799,94,448,388,551,850,594,239,111,883
ASV0028,7,949,333,360,26,93,450,483,184,136,3,284,1106,269,81,110,7,503,392,352,29,48,58,388,261,10,127,259,263
ASV0029,31,0,2,10,1,187,44,0,0,1,4,0,38,477,0,6,284,149,172,8,0,0,28,0,42,15,2,68,129
ASV0030,2,0,38,276,42,3,0,7,349,100,2,0,0,0,0,5,54,254,254,0,0,0,12,0,513,0,123,0,0
ASV0031,0,86,89,84,1,44,16,284,313,230,307,4,422,615,210,1,220,154,495,492,307,50,255,91,146,2,715,393,325
ASV0032,184,70,0,7,3,1,267,1,0,2,114,0,0,8,6,1010,0,0,0,0,0,0,12,165,175,2,0,0,0
ASV0033,5,14,32,1,353,190,0,256,0,0,0,5,18,3,0,1,9,0,68,4,485,0,0,40,734,0,10,0,82
ASV0034,115,94,35,134,239,61,93,334,14,10,19,0,978,67,135,263,17,121,53,104,176,120,184,811,131,1,20,133,0
ASV0035,6,448,240,0,1,32,159,0,123,22,4,92,3,35,44,13,91,790,396,119,29,357,189,105,94,20,0,59,6
ASV0036,169,6,136,243,24,51,60,74,105,478,6,1,12,66,465,253,33,156,54,1,20,18,34,65,63,0,5,31,2
ASV0037,24,1,0,18,18,0,216,33,9,415,0,0,20,23,48,19,0,6,140,2,22,174,1,143,3,11,0,0,159
ASV0038,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,3,0,0
ASV0039,63,327,1,687,0,132,380,0,18,84,109,92,176,5,58,363,0,0,133,92,131,0,37,2,16,4,219,4,252
ASV0040,0,415,0,5,131,0,0,48,12,34,0,0,34,89,23,0,0,0,69,101,116,104,0,73,15,36,120,0,0
ASV0041,0,0,0,1,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0042,0,904,0,323,14,0,10,30,10,0,0,3,0,9,0,10,92,0,0,99,6,1,1,84,2,0,30,1,70
ASV0043,1,39,0,0,0,0,0,0,0,2,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
