pathway,SIM01_V1,SIM01_V2,SIM01_V3,SIM02_V1,SIM02_V2,SIM02_V3,SIM03_V2,SIM03_V3,SIM04_V1,SIM04_V2,SIM04_V3,SIM05_V1,SIM05_V2,SIM05_V3,SIM06_V1,SIM06_V2,SIM06_V3,SIM07_V1,SIM07_V2,SIM07_V3,SIM08_V1,SIM08_V2,SIM08_V3,SIM09_V1,SIM09_V2,SIM09_V3,SIM10_V1,SIM10_V2,SIM10_V3
EC:2.95.55.548,5060.739,4381.906,0,4378.164,1888.394,256.04,3836.213,5052.71,7104.156,2931.426,4870.635,3697.502,3681.947,2983.075,3842.237,0,4299.513,2791.572,517.86,4656.815,3093.118,3283.101,5154.071,3752.707,2791.77,2768.81,852.339,6200.494,3511.574
EC:3.66.26.637,508.544,0,3628.837,2613.687,5429.465,1674.987,6390.654,265.637,163.053,4408.281,3333.338,3236.224,1629.895,4911.624,2291.478,281.901,2309.959,3452.805,3159.507,1381.521,5061.584,1137.244,629.966,2539.621,7482.669,2319.847,1726.703,918.261,0
EC:4.21.77.665,0,1951.347,2163.444,3153.514,3205.931,1567.684,860.63,4593.153,2028.211,4418.274,2290.821,1813.778,1012.153,4893.614,4251.998,0,4149.672,6165.736,2224.021,3254.293,3293.366,3685.71,2484.214,2362.666,7428.567,1865.065,3268.335,3433.891,621.74
EC:2.13.1.493,3131.297,2345.603,0,1095.968,3758.338,6419.135,7123.166,5129.584,0,2807.88,5586.223,1346.798,4639.853,2764.632,6250.23,1901.864,539.805,184.291,2095.872,2162.729,5327.792,0,2961.205,2984.044,5502.808,2484.256,1053.737,2290.05,244.21
EC:5.12.75.454,1449.657,3863.957,2038.818,4670.547,2753.985,4151.552,4136.413,6710.024,2237.1,3624.349,747.54,552.832,1287.407,3516.065,0,0,5510.471,7283.424,2224.649,4794.118,3911.958,2548.185,4310.429,1276.484,1880.627,3071.735,1810.744,7652.413,4728.787
EC:5.57.29.771,5956.439,7682.586,0,3749.26,2194.071,3400.331,2965.839,2266.334,1085.908,5149.265,5882.129,2008.568,5476.167,3600.549,2372.239,3130.099,2746.727,0,4418.76,1277.767,0,1195.566,0,4202.223,1902.946,2957.425,3433.666,1091.434,1675.679
EC:1.99.6.762,4990.26,7033.66,5585.298,3452.693,3345.496,430.205,2839.846,2182.09,2779.493,3196.505,4257.212,3715.784,2368.135,3525.756,5073.059,2938.458,2357.879,2641.845,4517.436,3402.868,771.66,4185.393,5034.012,3035.029,933.206,5718.482,4259.411,1049.428,5635.621
EC:4.40.24.734,4857.681,5091.746,4373.616,2890.609,1224.336,3484.478,7175.686,3223.594,1220.676,3713.839,3386.664,4291.745,4061.024,4120.09,3642.533,4042.907,4381.248,3170.208,5199.628,1809.751,1731.798,2370.567,5818.628,7030.208,4057.764,0,2249.263,2009.141,3985.217
EC:1.53.64.844,4575.759,4528.961,4268.583,4079.956,4311.632,4140.872,0,2801.192,1888.774,4820.367,0,0,3580.399,3346.258,1357.681,4065.163,2650.536,6861.127,3652.297,1323.733,415.066,193.317,2058.66,2251.069,6167.152,6386.957,1024.136,1380.881,3879.451
EC:1.82.22.772,6207.909,0,3610.583,6290.369,6452.503,328.329,0,1493.608,3131.523,1407.755,2013.25,3558.47,4221.493,2137.982,2948.595,3775.004,6432.622,0,4186.943,2860.83,1251.689,5438.712,6266.481,7111.802,4977.967,0,5128.861,3343.889,0
EC:4.66.82.652,5729.482,4476.658,2174.193,5048.496,1064.008,264.744,3519.792,4783.4,0,3576.366,0,2901.583,1968.364,1702.425,2141.881,1908.809,1115.416,569.07,1296.594,1220.913,1005.653,2273.089,4089.436,6337.383,3850.253,126.974,2756.913,2545.567,2628.922
EC:4.66.57.97,3906.611,1575.917,3712.828,3700.87,1088.56,273.797,6070.333,1587.646,1284.869,3613.41,5815.584,1945.872,3375.065,1016.357,3555.01,4358.425,1920.313,2614.981,3391.003,5626.07,1720.438,0,3064.87,3631.421,4136.851,2320.843,7274.451,2089.943,6297.074
EC:6.27.79.996,6518.159,4100.58,3283.043,2887.49,0,4087.898,3639.231,1039.632,4607.54,1414.736,3622.067,1560.002,3670.015,4036.413,3539.212,4072.76,212.421,5508.879,3678.409,3949.01,565.798,2399.171,4918.019,4250.327,1709.097,3592.335,5089.271,1960.704,1719.241
EC:6.83.88.764,2209.736,4606.969,2255.127,3045.384,1038.146,3683.691,2326.574,4617.598,3135.495,2022.651,3280.545,5324.051,1750.546,2283.019,878.02,1116.234,1920.183,475.42,2967.389,1034.726,1693.307,3152.532,1212.947,1728.987,2694.251,2813.812,0,2843.71,912.17
EC:4.92.41.415,3050.639,2956.251,604.931,5403.059,4026.606,847.405,3649.033,2924.737,2465.286,1716.974,6312.547,591.914,4352.719,0,5117.684,2776.196,3405.341,1779.594,0,3386.262,1577.392,2539.609,2525.021,4457.676,3614.919,862.383,5537.265,1404.563,1823.723
EC:6.36.3.96,2158.664,3453.479,2847.699,8.375,3026.102,2867.705,505.297,1017.697,5513.724,4921.701,2654.141,5208.746,3515.147,4536.737,0,5815.783,460.623,3542.87,3137.633,4929.365,2335.599,1440.649,1844.082,2838.638,4369.588,5249.022,5473.891,947.765,1123.872
EC:3.4.53.447,2635.055,5361.502,1952.893,3401.303,5588.52,5605.922,4567.477,3462.142,1339.723,1662.355,2217.669,233.498,5125.54,5711.786,1223.975,0,4925.234,4965.435,5562.357,1686.681,3819.05,2153.855,2917.147,4438.285,3550.663,1234.029,2361.381,2314.52,4040.076
EC:4.87.46.741,3938.029,6444.073,4442.784,4400.986,4260.467,418.125,209.948,3804.098,300.761,2289.897,2949.913,1799.355,0,3336.188,4910.909,3363.372,1776.035,2716.264,4510.814,0,4812.295,2002.372,3826.504,3051.836,2108.451,1793.275,790.532,7304.875,1069.228
EC:2.24.28.506,0,3740.093,4500.818,4407.558,3083.383,2599.897,2943.28,5114.926,5739.082,4255.764,2617.127,1221.765,1968.537,2396.785,2589.117,3465.046,5246.996,1468.358,4345.793,0,4180.21,1336.801,1629.41,4100.936,3933.081,5387.277,1579.672,2046.101,971
EC:3.98.75.398,2429.799,5234.288,2096.737,5624.688,1472.813,5309.783,1359.841,2900.921,3434.474,3723.444,183.545,1305.419,6509.824,6111.444,3219.537,0,320.977,4256.272,1836.287,4010.991,2203.933,7307.573,6954.579,3281.589,2061.552,2815.095,2650.858,6103.211,1202.748
