pathway,SIM01_V1,SIM01_V2,SIM01_V3,SIM02_V1,SIM02_V2,SIM02_V3,SIM03_V2,SIM03_V3,SIM04_V1,SIM04_V2,SIM04_V3,SIM05_V1,SIM05_V2,SIM05_V3,SIM06_V1,SIM06_V2,SIM06_V3,SIM07_V1,SIM07_V2,SIM07_V3,SIM08_V1,SIM08_V2,SIM08_V3,SIM09_V1,SIM09_V2,SIM09_V3,SIM10_V1,SIM10_V2,SIM10_V3
cis-vaccenate biosynthesis,2923.399,10244.394,6845.927,6198.373,4323.666,2944.677,8167.429,870.53,3898.363,6667.102,5639.308,4415.158,5244.03,0,2850.147,3976.608,8896.458,5071.043,4027.8,2925.774,4651.997,5213.477,12963.759,4655.786,6929.27,0,6850.655,6139.274,7920.716
L-methionine biosynthesis I,4091.2,4080.253,1926.693,5111.9,9794.705,5578.371,8163.393,3010.055,2914.12,3547.898,719.698,5288.208,8707.591,11255.669,10738.939,3958.918,8561.816,3782.007,3290.491,1056.587,11739.688,6351.294,6861.317,2481.13,3705.506,10005.236,3719.397,3650.316,4826.223
L-methionine biosynthesis II,3002.037,3900.682,630.362,9570.922,3847.958,7735.269,7093.323,2822.353,4911.388,3209.615,2279.535,6628.851,8577.943,3899.19,4913.466,3608.143,8221,663.428,6745.304,5264.483,2571.668,4519.713,6250.187,0,182.725,3303.166,9813.598,4892.595,6060.723
thiamine diphosphate biosynthesis II,2272.983,5942.41,3761.077,6482.693,4385.001,3935.475,6845.441,5601.483,6730.648,3361.057,13205.697,10703.544,1619.902,8553.14,6438.636,7513.218,9394.37,9706.862,7177.958,4900.362,4553.259,6507.82,7298.089,4843.931,2838.107,6349.782,2629.18,6770.151,9760.134
NAD phosphorylation and transhydrogenation,2823.358,14298.824,8907.604,5017.197,4344.202,8570.292,6057.919,9528.321,5709.628,7402.939,3119.166,1237.814,8114.153,2955.092,2937.326,6442.403,4893.134,8564.333,5319.407,4296.466,6928.062,4080.525,5497.646,2313.592,5653.719,3524.516,4383.287,6164.981,2067.041
L-arginine degradation I (arginase pathway),6484.867,8512.74,0,10152.074,5033.111,2545.291,5556.34,5636.501,5257.203,7801.195,6013.623,0,5093.791,8444.576,3127.562,6079.333,1415.203,5305.346,8588.6,0,3932.537,4960.802,2568.824,8827.09,10634.969,4839.366,5362.543,7932.417,9180.305
formate to 5,10-methyleneTHF,8027.295,4671.384,5991.939,5396.98,4111.644,7132.885,4253.054,6790.514,3415.334,9606.33,3688.19,13755.902,3888.282,5922.965,3294.227,7087.849,4867.17,5202.603,1728.734,4377.485,9240.479,5467.521,3334.887,7244.132,12787.09,4696.893,5399.758,6238.77,7920.928
(2Fe-2S) iron-sulfur cluster biosynthesis,7262.406,4942.033,6857.05,0,2588.739,7689.653,0,6778.352,3391.857,7643.026,6206.828,1483.329,3139.887,2596.999,7339.396,6646.648,2790.115,2672.847,0,10788.208,10368.908,4796.534,2092.917,3148.861,0,4451.047,5931.649,5165.702,6216.015
L-serine degradation,6403.569,4719.16,0,5593.189,6301.068,3966.673,1094.785,6836.701,7125.501,5585.799,7830.207,3782.566,3214.832,4514.828,5186.217,5416.219,1484.803,5100.575,6059.042,6152.35,5083.021,6236.776,5214.245,1979.336,6982.745,3370.59,6841.748,0,8067.434
superpathway of glycolysis and the Entner-Doudoroff pathway,3272.621,4690.88,10647.565,1594.268,1875.264,4452.931,3039.721,5503.26,6667.677,8276.553,5520.634,1227.499,5491.929,8821.452,6389.975,4185.314,3744.175,4659.392,4844.93,7782.781,7275.095,6893.446,3172.933,5750.462,9547.223,4700.854,5235.496,6378.52,5641.577
TCA cycle (prokaryotic),3825.674,7004.178,6010.36,1929.199,4574.162,5141.043,1694.198,7226.972,6255.289,4539.321,0,9097.002,4106.819,1988.325,0,7266.379,9268.086,839.866,7046.197,8139.297,3587.124,3940.885,7561.142,5367.331,8884.119,6845.742,4950.8,4646.872,6186.395
pentose phosphate pathway,9541.709,4227.556,11045.287,4850.648,4892.064,5269.034,5548.908,1166.694,4853.153,8343.012,5029.259,4228.703,4740.248,8040.273,3103.675,7972.587,5965.958,9969.475,0,6098.367,2232.043,4226.282,1529.845,0,7094.904,1838.618,3066.841,1925.547,7804.755
