ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV0001,Bacteria,Firmicutes,Clostridia,Clostridiales,Erysipelotrichaceae,Mediterraneibacter,NA
ASV0002,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Romboutsia,NA
ASV0003,Bacteria,Firmicutes,Clostridia,Clostridiales,Coriobacteriaceae,Lactobacillus,NA
ASV0004,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Erysipelatoclostridium,NA
ASV0005,Bacteria,Firmicutes,Clostridia,Clostridiales,Coriobacteriaceae,Coprococcus,NA
ASV0006,Bacteria,Bacteroidota,Clostridia,Clostridiales,Prevotellaceae,Bacteroides,NA
ASV0007,Bacteria,Actinobacteria,Clostridia,Clostridiales,Prevotellaceae,Collinsella,NA
ASV0008,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Ruminococcus,NA
ASV0009,Bacteria,Actinobacteria,Clostridia,Clostridiales,Bifidobacteriaceae,Collinsella,NA
ASV0010,Bacteria,Firmicutes,Clostridia,Clostridiales,Coriobacteriaceae,Streptococcus,NA
ASV0011,Bacteria,Firmicutes,Clostridia,Clostridiales,Bacteroidaceae,Coprococcus,NA
ASV0012,Bacteria,Actinobacteria,Clostridia,Clostridiales,Prevotellaceae,Adlercreutzia,NA
ASV0013,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Streptococcus,NA
ASV0014,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Mediterraneibacter,NA
ASV0015,Bacteria,Firmicutes,Clostridia,Clostridiales,Lactobacillaceae,Holdemanella,NA
ASV0016,Bacteria,Firmicutes,Clostridia,Clostridiales,Prevotellaceae,Dialister,NA
ASV0017,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Streptococcus,NA
ASV0018,Bacteria,Actinobacteria,Clostridia,Clostridiales,Lactobacillaceae,Collinsella,NA
ASV0019,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,NA
ASV0020,Bacteria,Actinobacteria,Clostridia,Clostridiales,Ruminococcaceae,Coriobacterium,NA
ASV0021,Bacteria,Verrucomicrobiota,Clostridia,Clostridiales,Coriobacteriaceae,Akkermansia,NA
ASV0022,Bacteria,Firmicutes,Clostridia,Clostridiales,Coriobacteriaceae,Blautia,NA
ASV0023,Bacteria,Bacteroidota,Clostridia,Clostridiales,Peptostreptococcaceae,Alistipes,NA
ASV0024,Bacteria,Actinobacteria,Clostridia,Clostridiales,Lachnospiraceae,Coriobacterium,NA
